Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)    dV (%)
Experiment            8.91     28.74      9.36      90.0      90.0      90.0   2396.06      0.00
PBE                   9.20     29.61      9.67      90.0      90.0      90.0   2631.83      9.84
PBE+D3(BJ)            8.76     28.46      9.13      90.0      90.0      90.0   2275.49     -5.03
PBE+D3                8.84     28.57      9.21      90.0      90.0      90.0   2326.68     -2.90
PBEsol                8.84     28.67      9.26      90.0      90.0      90.0   2348.66     -1.98
SCAN                  8.94     28.53      9.27      90.0      90.0      90.0   2365.77     -1.26
