Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)    dV (%)
Experiment            8.91     28.73      9.36      90.0      90.0      90.0   2396.20      0.00
PBE                   9.20     29.62      9.66      90.0      90.0      90.0   2631.38      9.82
PBE+D3(BJ)            8.75     28.46      9.13      90.0      90.0      90.0   2275.05     -5.06
PBE+D3                8.84     28.58      9.21      90.0      90.0      90.0   2327.54     -2.87
PBEsol                8.84     28.78      9.25      90.0      90.0      90.0   2354.13     -1.76
SCAN                  8.93     28.56      9.28      90.0      90.0      90.0   2366.61     -1.23
