Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.42      9.00     26.08      90.0      90.0      90.0   1975.59
PBE                   8.50      9.22     27.36      90.0      90.0      90.0   2142.96
PBE+D3(BJ)            8.34      8.96     26.00      90.0      90.0      90.0   1943.34
PBE+D3                8.38      8.99     26.12      90.0      90.0      90.0   1968.90
PBEsol                8.25      9.04     26.38      90.0      90.0      90.0   1966.85
SCAN                  8.45      9.00     26.10      90.0      90.0      90.0   1986.58
