Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment           19.25      8.08      8.73      90.0      90.3      90.0   1357.21
PBE                  19.84      8.24      8.94      90.0      90.7      90.0   1460.85
PBE+D3(BJ)           19.14      7.96      8.63      90.0      90.9      90.0   1314.26
PBE+D3               19.23      7.99      8.66      90.0      90.8      90.0   1331.43
PBEsol               19.33      8.01      8.73      90.0      90.7      90.0   1350.76
SCAN                 19.10      8.07      8.68      90.0      90.9      90.0   1337.41
