Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.97      8.97     33.78      90.0      90.0      90.0   2717.76
PBE                   9.06      9.07     34.93      90.0      90.0      90.0   2871.69
PBE+D3(BJ)            8.80      8.78     33.82      90.0      90.0      90.0   2615.19
PBE+D3                8.82      8.82     33.95      90.0      90.0      90.0   2640.93
PBEsol                8.81      8.83     34.05      90.0      90.0      90.0   2649.75
SCAN                  8.88      8.88     33.93      90.0      90.0      90.0   2674.37
