Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.48      9.04     23.08      90.0      90.0      90.0   1770.81
PBE                   8.61      9.12     23.86      90.0      90.0      90.0   1874.58
PBE+D3(BJ)            8.34      9.02     22.89      90.0      90.0      90.0   1722.38
PBE+D3                8.40      9.06     22.97      90.0      90.0      90.0   1747.47
PBEsol                8.36      8.96     23.23      90.0      90.0      90.0   1740.66
SCAN                  8.47      9.04     23.00      90.0      90.0      90.0   1761.39
