Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.90     28.86      9.31      90.0      90.0      90.0   2393.31
PBE                   9.15     29.83      9.52      90.0      90.0      90.0   2599.37
PBE+D3(BJ)            8.76     28.53      9.12      90.0      90.0      90.0   2279.16
PBE+D3                8.82     28.62      9.17      90.0      90.0      90.0   2313.89
PBEsol                8.79     28.90      9.16      90.0      90.0      90.0   2326.98
SCAN                  8.87     28.76      9.19      90.0      90.0      90.0   2342.49
