Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.75      7.96     19.50      90.0      93.8      90.0   1355.17
PBE                   9.02      8.08     19.92      90.0      93.4      90.0   1449.42
PBE+D3(BJ)            8.62      7.82     19.38      90.0      94.0      90.0   1303.01
PBE+D3                8.67      7.79     19.43      90.0      94.2      90.0   1310.32
PBEsol                8.69      7.86     19.55      90.0      93.6      90.0   1333.72
SCAN                  8.67      7.91     19.42      90.0      94.5      90.0   1326.54
