Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)    dV (%)
Experiment            8.79     28.74      9.43      90.0      90.0      90.0   2381.06      0.00
PBE                   8.97     29.66      9.77      90.0      90.0      90.0   2597.46      9.09
PBE+D3(BJ)            8.52     28.55      9.26      90.0      90.0      90.0   2253.95     -5.34
PBE+D3                8.60     28.74      9.34      90.0      90.0      90.0   2308.86     -3.03
PBEsol                8.59     28.75      9.36      90.0      90.0      90.0   2312.69     -2.87
SCAN                  8.67     28.75      9.42      90.0      90.0      90.0   2347.13     -1.42
