Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment           15.69      8.29      8.24      90.0     101.2      90.0   1050.28
PBE                  16.22      8.30      8.37      90.0     101.7      90.0   1103.17
PBE+D3(BJ)           15.36      8.13      8.13      90.0     101.0      90.0    996.44
PBE+D3               15.37      8.15      8.15      90.0     100.9      90.0   1002.39
PBEsol               15.81      8.10      8.15      90.0     102.1      90.0   1020.65
SCAN                 15.29      8.21      8.18      90.0     101.4      90.0   1006.72
