Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            7.91      8.81     35.58      90.0      90.0      90.0   2479.45
PBE                   7.96      8.97     36.92      90.0      90.0      90.0   2636.91
PBE+D3(BJ)            7.80      8.69     35.29      90.0      90.0      90.0   2390.75
PBE+D3                7.82      8.72     35.34      90.0      90.0      90.0   2411.66
PBEsol                7.79      8.68     36.01      90.0      90.0      90.0   2434.10
SCAN                  7.86      8.71     35.60      90.0      90.0      90.0   2438.11
