Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.83      8.09     18.15      90.0      91.6      90.0   1297.05
PBE                   8.84      8.35     18.57      90.0      92.3      90.0   1370.92
PBE+D3(BJ)            8.58      8.05     18.08      90.0      90.9      90.0   1248.67
PBE+D3                8.63      8.04     18.09      90.0      91.1      90.0   1255.89
PBEsol                8.61      8.12     18.25      90.0      93.0      90.0   1274.09
SCAN                  8.66      8.03     17.97      90.0      91.1      90.0   1248.55
