Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.77      7.84     20.35      90.0      99.5      90.0   1380.98
PBE                   9.02      7.87     20.91      90.0      98.6      90.0   1468.59
PBE+D3(BJ)            8.68      7.67     20.29      90.0     100.1      90.0   1329.32
PBE+D3                8.71      7.70     20.38      90.0      99.8      90.0   1345.76
PBEsol                8.72      7.71     20.49      90.0      98.7      90.0   1361.14
SCAN                  8.70      7.78     20.33      90.0      99.7      90.0   1356.31
