Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.76      7.96     19.52      90.0      93.8      90.0   1357.79
PBE                   9.03      8.07     19.93      90.0      93.4      90.0   1449.58
PBE+D3(BJ)            8.63      7.79     19.38      90.0      93.9      90.0   1299.72
PBE+D3                8.68      7.79     19.44      90.0      93.8      90.0   1312.56
PBEsol                8.70      7.86     19.52      90.0      93.2      90.0   1331.47
SCAN                  8.67      7.91     19.40      90.0      94.4      90.0   1325.75
