Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment            8.78      7.84     20.34      90.0      99.5      90.0   1380.50
PBE                   9.01      7.87     21.00      90.0      98.3      90.0   1473.94
PBE+D3(BJ)            8.68      7.67     20.27      90.0     100.1      90.0   1327.93
PBE+D3                8.71      7.69     20.35      90.0      99.7      90.0   1343.86
PBEsol                8.71      7.70     20.49      90.0      98.7      90.0   1359.02
SCAN                  8.69      7.79     20.30      90.0      99.7      90.0   1354.53
