Structure            a (A)     b (A)     c (A) alpha (o)  beta (o) gamma (o)   V (A^3)
Experiment           14.62      9.38      8.78      90.0     100.1      90.0   1185.67
PBE                  15.13      9.62      8.83      90.0     100.0      90.0   1266.79
PBE+D3(BJ)           14.56      9.28      8.55      90.0      99.9      90.0   1136.78
PBE+D3               14.61      9.32      8.60      90.0      99.9      90.0   1154.04
PBEsol               14.73      9.31      8.56      90.0     100.1      90.0   1156.14
SCAN                 14.66      9.35      8.66      90.0     100.8      90.0   1166.97
